frameSeqNumber,cameraStamp,receiptStamp,postProcessingStamp,lostPackets,network delay,processing delay,total delay
32140,26283.63,26283.92,26283.93,0,0.289999999997,0.010000000002,0.289999999997
32143,26283.74,26284.02,26284.03,2,0.279999999999,0.0099999999984,0.279999999999
32145,26283.84,26284.13,26284.14,1,0.290000000001,0.0099999999984,0.290000000001
32147,26283.94,26284.23,26284.24,1,0.290000000001,0.010000000002,0.290000000001
32149,26284.05,26284.32,26284.32,1,0.27,0.0,0.27
32153,26284.16,26284.42,26284.43,3,0.259999999998,0.010000000002,0.259999999998
32156,26284.27,26284.52,26284.52,2,0.25,0.0,0.25
32160,26284.37,26284.61,26284.61,3,0.240000000002,0.0,0.240000000002
32162,26284.43,26284.71,26284.71,1,0.279999999999,0.0,0.279999999999
32166,26284.58,26284.82,26284.82,3,0.239999999998,0.0,0.239999999998
32168,26284.64,26284.92,26284.92,1,0.279999999999,0.0,0.279999999999
32171,26284.71,26285.03,26285.04,2,0.32,0.010000000002,0.32
